backen	bäckst/bäckt	backte/buk	gebacken	bake
schließen	schließt/schließt	schloß	geschlossen	close
schlingen	schlingst/schlingt	schlang	geschlungen	wind; bolt
schmeißen	schmeißt/schmeißt	schmiß	geschmissen	chuck
schmelzen	schmilzt/scmhilzt	schmolz	geschmolzen	melt
schnauben	schnaubst/schnaubt	schnaubte	geschnaubt	snort
schneiden	schneidest/schneidet	schnitt	geschnitten	cut
schreiben	schreibst/schreibt	schrieb	geschrieben	write
schreien	schreist/schreit	schrie	geschrien	scream
schreiten	schreitest/schreitet	schritt	geschritten	stride
schwären	schwärst/schwärt	schwärte	geschwärt	fester
schweigen	schweigst/schweigt	schwieg	geschwiegen	clam up
schwellen	schwillst/schwillt	schwoll	geschwollen	swell
schwimmen	schwimmst/schwimmt	schwamm	geschwommen	swim
schwinden	schwindest/schwindet	schwand	geschwunden	disappear
schwingen	schwingst/schwingt	schwang	geschwungen	swing
schwören	schwörst/schwört	schwur	geschworen	swear
sehen	siehst/sieht	sah	gesehen	see
sein	bin/bist/ist	war	gewesen	be
senden	sendest/sendet	sandte	gesandt	send
sieden	siedest/siedet	siedete	gesiedet	boil
singen	singst/singt	sang	gesungen	sing
sinken	sinkst/sinkt	sank	gesunken	sink
sinnen	sinnst/sinnt	sann	gesonnen	ponder
sitzen	sitzt/sitzt	saß	gesessen	sit
sollen	soll/sollst/soll	sollte	gesollt	should
speien	speist/speit	spie	gespien	spit
spinnen	spinnst/spinn	spann	gesponnen	spin
sprechen	sprichst/spricht	sprach	gesprochen	speak
sprießen	sprießt/sprießt	sproß	gesprossen	spring up
springen	springst/springt	sprang	gesprungen	jump
stechen	stichst/sticht	stach	gestochen	prick
stecken	steckst/steckt	stak/steckte	gesteckt	be stuck
stehen	stehst/steht	stand	gestanden	stand
stehlen	stiehlst/stiehlt	stahl	gestohlen	steal
steigen	steigst/steigt	stieg	gestiegen	climb
sterben	stirbst/stirbt	starb	gestorben	die
stieben	stiebst/stiebt	stob	gestoben	fly about
stinken	stinkst/stinkt	stank	gestunken	stink
stoßen	stößt/stößt	stieß	gestossen	shove
streichen	streichst/streicht	strich	gestrichen	stroke
streiten	streitest/streitet	stritt	gestritten	argue
tragen	trägst/trägt	trug	getragen	carry
treffen	triffst/trifft	traf	getroffen	meet
treiben	treibst/treibt	trieb	getrieben	drive
treten	trittst/tritt	trat	getreten	step
triefen	triefst/trieft	troff	getroffen	drip
trinken	trinkst/trinkt	trank	getrunken	drink
trügen	trügst/trügt	trog	getrogen	deceive
tun	tust/tut	tat	getan	do
verderben	verdirbst/verdirbt	verdarb	verdorben	spoil
verdrießen	verdrießt/verdrießt	verdroß	verdrossen	peeve
vergessen	vergißt/vergißt	vergaß	vergessen	forget
